Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
39.0,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,2086.0,3335,3,No,14,3,3,1,19,6,4,1,0,0,0
24.0,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293.0,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0
32.0,No,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,2645.0,21923,1,No,12,3,4,2,6,3,2,5,3,1,4
50.0,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,2683.0,3810,1,Yes,14,3,3,0,3,2,3,3,2,0,2
35.0,No,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,2529.0,9687,1,No,13,3,1,0,2,3,3,2,2,2,2
36.0,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,3419.0,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,0
33.0,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,5376.0,3193,2,No,19,3,1,2,10,3,3,5,3,1,3
35.0,No,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951.0,10910,1,No,12,3,3,1,1,3,3,1,0,0,0
27.0,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341.0,19715,1,No,13,3,4,1,1,6,3,1,0,0,0
26.0,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,2293.0,10558,1,No,12,3,3,0,1,2,2,1,0,0,1
27.0,No,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,8726.0,2975,1,No,15,3,4,0,9,0,3,9,8,1,7
30.0,No,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,4011.0,10781,1,No,23,4,4,0,12,2,3,12,8,3,7
41.0,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,19545.0,16280,1,No,12,3,4,0,23,0,3,22,15,15,8
34.0,No,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,4568.0,10034,0,No,20,4,3,0,10,2,3,9,5,8,7
37.0,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,3022.0,10227,4,No,21,4,1,0,8,1,3,1,0,0,0
46.0,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,5772.0,20445,4,Yes,21,4,3,0,14,4,3,9,6,0,8
35.0,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,2269.0,4892,1,No,19,3,4,0,1,2,3,1,0,0,1
48.0,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,6306.5,19294,9,Yes,13,3,4,0,23,2,3,1,0,0,0
28.0,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,3441.0,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,2
44.0,No,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5454.0,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3
35.0,No,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,9884.0,8302,2,Yes,13,3,3,1,10,3,3,4,0,2,3
26.0,No,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,4157.0,21436,7,Yes,19,3,3,1,5,2,2,2,2,0,0
33.0,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,13458.0,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12
35.0,,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,9069.0,11031,1,No,22,4,4,1,9,3,2,9,8,1,8
35.0,No,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,4014.0,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,2
31.0,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915.0,9528,3,No,22,4,4,1,10,3,2,7,7,1,7
37.0,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993.0,2689,1,No,18,3,3,1,7,2,4,7,5,0,7
32.0,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,6162.0,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8
32.0,,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,2406.0,5456,1,No,11,3,4,0,10,2,3,10,3,9,9
50.0,No,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,18740.0,16701,5,Yes,12,3,4,1,29,2,2,27,3,13,8
59.0,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,99,3,3,Sales Executive,1,Single,7637.0,2354,7,No,11,3,4,0,28,3,2,21,16,7,9
36.0,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096.0,8202,1,No,13,3,2,3,17,2,3,17,14,12,8
41.5,No,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,14756.0,19730,2,Yes,14,3,3,3,21,2,3,5,0,0,2
27.0,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,6499.0,22656,1,No,13,3,3,0,6,3,3,6,5,0,3
45.0,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,9724.0,18787,2,No,17,3,3,1,25,2,3,1,0,0,0
35.0,No,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,2194.0,5868,4,No,13,3,4,1,5,2,2,3,2,1,2
36.0,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,3388.0,21777,0,Yes,17,3,1,1,2,0,2,1,0,0,0
59.0,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,5473.0,24668,7,No,11,3,4,0,20,2,2,4,3,1,3
29.0,,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,2703.0,4956,0,No,23,4,4,1,6,3,3,5,4,0,4
31.0,No,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,2501.0,18775,1,No,17,3,2,0,1,4,3,1,1,1,0
32.0,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,5003.0,7346,1,No,17,3,2,2,10,3,3,10,4,0,9
36.0,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,3038.0,22002,3,No,12,3,2,0,5,3,3,1,0,0,0
31.0,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,4424.0,20682,1,No,23,4,4,0,11,2,3,11,7,1,8
35.0,No,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,4312.0,23016,0,No,14,3,2,0,16,2,3,15,13,2,8
45.0,No,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,13206.0,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,0
37.0,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,30,3,3,Research Director,3,Single,13664.0,25258,4,No,13,3,1,0,16,3,4,5,2,0,2
46.0,No,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,5021.0,10425,8,Yes,22,4,4,1,16,2,3,4,2,0,2
30.0,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,4988.5,15998,1,Yes,12,3,3,2,10,1,2,10,8,3,0
35.0,No,Travel_Rarely,1214,Research & Development,1,3,Medical,2,Male,30,2,1,Research Scientist,3,Single,2782.0,26278,1,No,18,3,1,0,6,3,3,6,4,0,4
55.0,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,10239.0,18092,3,No,14,3,4,1,24,4,3,1,0,1,0
38.0,No,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,5329.0,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9
34.0,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,4325.0,17736,1,No,15,3,3,0,5,2,3,5,2,1,3
56.0,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,9596.5,21698,4,No,11,3,1,0,37,3,2,6,4,0,2
23.0,No,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,2322.0,9518,3,No,13,3,3,1,3,3,3,0,0,0,0
51.0,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,2075.0,18725,3,No,23,4,2,2,10,4,3,4,2,0,3
30.0,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,4152.0,15830,1,No,19,3,1,3,11,3,3,11,10,10,8
46.0,Yes,Travel_Rarely,669,Sales,9,2,Medical,3,Male,64,2,3,Sales Executive,4,Single,9619.0,13596,1,No,16,3,4,0,9,3,3,9,8,4,7
40.0,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,3,Male,78,2,4,Healthcare Representative,2,Married,13503.0,14115,1,No,22,4,4,1,22,3,2,22,3,11,11
51.0,No,Travel_Rarely,632,Sales,21,4,Marketing,3,Male,71,3,2,Sales Executive,4,Single,5441.0,8423,0,Yes,22,4,4,0,11,2,1,10,7,1,0
30.0,No,Travel_Rarely,1334,Sales,4,2,Medical,3,Female,63,2,2,Sales Executive,2,Divorced,5209.0,19760,1,Yes,12,3,2,3,11,4,2,11,8,2,7
46.0,No,Travel_Frequently,638,Research & Development,1,3,Medical,3,Male,40,2,3,Healthcare Representative,1,Married,10673.0,3142,2,Yes,13,3,3,1,21,5,2,10,9,9,5
32.0,No,Travel_Rarely,1093,Sales,6,4,Medical,2,Male,87,3,2,Sales Executive,3,Single,5010.0,24301,1,No,16,3,1,0,12,0,3,11,8,5,7
54.0,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,Female,60,3,3,Research Director,3,Married,13549.0,24001,9,No,12,3,1,1,16,5,1,4,3,0,3
24.0,No,Travel_Rarely,1353,Sales,3,2,Other,1,Female,33,3,2,Sales Executive,3,Married,4999.0,17519,0,No,21,4,1,1,4,2,2,3,2,0,2
28.0,No,Non-Travel,120,Sales,4,3,Medical,2,Male,43,3,2,Sales Executive,3,Married,4221.0,8863,1,No,15,3,2,0,5,3,4,5,4,0,4
58.0,No,Travel_Rarely,682,Sales,10,4,Medical,4,Male,37,3,4,Sales Executive,3,Single,13872.0,24409,0,No,13,3,3,0,38,1,2,37,10,1,8
44.0,No,Non-Travel,489,Research & Development,23,3,Medical,2,Male,67,3,2,Laboratory Technician,2,Married,2042.0,25043,4,No,12,3,3,1,17,3,4,3,2,1,2
37.0,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,3,Male,63,3,1,Human Resources,1,Divorced,2073.0,23648,4,Yes,22,4,4,0,7,3,3,3,2,0,2
32.0,,Travel_Rarely,827,Research & Development,1,1,Life Sciences,4,Male,71,3,1,Research Scientist,1,Single,2956.0,15178,1,No,13,3,4,0,1,2,3,1,0,0,0
20.0,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,4,Female,66,2,1,Laboratory Technician,4,Single,2926.0,19783,1,Yes,18,3,2,0,1,5,3,1,0,1,0
34.0,,Travel_Rarely,665,Research & Development,6,4,Other,1,Female,41,3,2,Research Scientist,3,Single,4809.0,12482,1,No,14,3,3,0,16,3,3,16,13,2,10
37.0,No,Non-Travel,1040,Research & Development,2,2,Life Sciences,3,Male,100,2,2,Healthcare Representative,4,Divorced,6485.5,15850,5,No,14,3,4,1,17,2,4,1,0,0,0
59.0,No,Non-Travel,1420,Human Resources,2,4,Human Resources,3,Female,32,2,5,Manager,4,Married,18844.0,21922,9,No,21,4,4,1,30,3,3,3,2,2,2
50.0,,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,Female,73,3,5,Research Director,2,Married,18172.0,9755,3,Yes,19,3,1,0,28,1,2,8,3,0,7
25.0,,Travel_Rarely,240,Sales,5,3,Marketing,3,Male,46,2,2,Sales Executive,3,Single,5744.0,26959,1,Yes,11,3,4,0,6,1,3,6,4,0,3
25.0,No,Travel_Rarely,1280,Research & Development,7,1,Medical,4,Male,64,2,1,Research Scientist,4,Married,2889.0,26897,1,No,11,3,3,2,2,2,3,2,2,2,1
22.0,,Travel_Rarely,534,Research & Development,15,3,Medical,2,Female,59,3,1,Laboratory Technician,4,Single,2871.0,23785,1,No,15,3,3,0,1,5,3,0,0,0,0
51.0,No,Travel_Frequently,1456,Research & Development,1,4,Medical,1,Female,30,2,3,Healthcare Representative,1,Single,7484.0,25796,3,No,20,4,3,0,23,1,2,13,12,12,8
34.0,,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,Male,66,1,2,Laboratory Technician,3,Single,4640.5,22887,1,Yes,24,4,4,0,9,3,3,9,7,0,6
54.0,No,Non-Travel,142,Human Resources,26,3,Human Resources,4,Female,30,4,4,Manager,4,Single,17328.0,13871,2,Yes,12,3,3,0,23,3,3,5,3,4,4
24.0,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,2,Male,52,3,1,Laboratory Technician,3,Married,3196.0,13257,0,No,12,3,3,1,6,2,3,5,3,1,2
34.0,No,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,3,Female,45,2,2,Research Scientist,2,Divorced,4505.0,15000,6,No,15,3,3,1,12,3,3,1,0,0,0
37.0,No,Travel_Rarely,1189,Sales,3,3,Life Sciences,3,Male,87,3,3,Sales Executive,4,Single,8020.0,14506,2,No,12,3,1,0,12,3,3,5,3,1,3
34.0,No,Travel_Rarely,1354,Research & Development,5,3,Medical,3,Female,45,2,3,Manager,1,Single,11631.0,5615,2,No,12,3,4,0,14,6,3,11,10,5,8
36.0,No,Travel_Frequently,1467,Sales,11,2,Technical Degree,2,Female,92,3,3,Sales Executive,4,Married,9738.0,22952,0,No,14,3,3,1,10,6,3,9,7,2,8
36.0,No,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,Female,39,3,1,Laboratory Technician,4,Divorced,2835.0,2561,5,No,22,4,1,1,7,2,3,1,0,0,0
43.0,No,Travel_Frequently,394,Sales,26,2,Life Sciences,3,Male,92,3,4,Manager,4,Married,16823.0,19494,1,Yes,12,3,4,2,25,3,4,25,12,4,12
30.0,,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,Male,96,1,1,Research Scientist,3,Divorced,2613.0,22310,1,No,25,4,3,3,10,2,2,10,7,0,9
33.0,No,Non-Travel,750,Sales,22,2,Marketing,3,Male,95,3,2,Sales Executive,2,Married,6146.0,15480,0,No,13,3,1,1,8,2,4,7,7,0,7
56.0,Yes,Travel_Rarely,441,Research & Development,14,4,Life Sciences,2,Female,72,3,1,Research Scientist,2,Married,4963.0,4510,9,Yes,18,3,1,3,7,2,3,5,4,4,3
51.0,No,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,Male,51,3,5,Research Director,3,Single,19537.0,6462,7,No,13,3,3,0,23,5,3,20,18,15,15
31.0,Yes,Travel_Rarely,249,Sales,6,4,Life Sciences,2,Male,76,1,2,Sales Executive,3,Married,6172.0,20739,4,Yes,18,3,2,0,12,3,2,7,7,7,7
26.0,No,Travel_Rarely,841,Research & Development,6,3,Other,3,Female,46,2,1,Research Scientist,2,Married,2368.0,23300,1,No,19,3,3,0,5,3,2,5,4,4,3
58.0,Yes,Travel_Rarely,147,Research & Development,23,4,Medical,4,Female,94,3,3,Healthcare Representative,4,Married,10312.0,3465,1,No,12,3,4,1,40,3,2,40,10,15,6
19.0,Yes,Travel_Rarely,528,Sales,22,1,Marketing,4,Male,50,3,1,Sales Representative,3,Single,1675.0,26820,1,Yes,19,3,4,0,0,2,2,0,0,0,0
30.5,No,Travel_Rarely,594,Research & Development,2,1,Technical Degree,3,Male,100,3,1,Laboratory Technician,4,Married,2523.0,19299,0,No,14,3,3,1,3,2,3,2,1,2,1
49.0,No,Travel_Rarely,470,Research & Development,20,4,Medical,3,Female,96,3,2,Manufacturing Director,1,Married,6567.0,5549,1,No,14,3,3,0,16,2,2,15,11,5,11
43.0,No,Travel_Frequently,957,Research & Development,28,3,Medical,2,Female,72,4,1,Research Scientist,3,Single,4739.0,16090,4,No,12,3,4,0,18,2,3,3,2,1,2
50.0,,Travel_Frequently,809,Sales,12,3,Marketing,3,Female,77,3,3,Sales Executive,4,Single,9208.0,6645,4,No,11,3,4,0,16,3,3,2,2,2,1
31.0,Yes,Travel_Rarely,542,Sales,20,3,Life Sciences,2,Female,71,1,2,Sales Executive,3,Married,4559.0,24788,3,Yes,11,3,3,1,4,2,3,2,2,2,2
35.0,No,Travel_Rarely,802,Sales,9,1,Life Sciences,3,Male,96,3,3,Sales Executive,3,Divorced,8189.0,21196,3,Yes,13,3,3,1,12,2,3,9,7,0,7
26.0,No,Travel_Rarely,1355,Human Resources,25,1,Life Sciences,3,Female,61,3,1,Human Resources,3,Married,2942.0,8916,1,No,23,4,4,1,8,3,3,8,7,5,7
36.0,No,Travel_Rarely,216,Research & Development,6,2,Medical,2,Male,84,3,2,Manufacturing Director,2,Divorced,4941.0,2819,6,No,20,4,4,2,7,0,3,3,2,0,1
51.0,Yes,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,1,Male,53,1,3,Manufacturing Director,4,Single,10650.0,25150,2,No,15,3,4,0,18,2,3,4,2,0,3
39.0,No,Travel_Rarely,1329,Sales,4,4,Life Sciences,4,Female,47,2,2,Sales Executive,3,Married,7496.0,14590,4,No,14,3,3,1,17,1,4,15,11,5,9
25.0,No,Travel_Rarely,959,Sales,28,3,Life Sciences,1,Male,41,2,2,Sales Executive,3,Married,8639.0,24835,2,No,18,3,4,0,6,3,3,2,2,2,2
30.0,No,Travel_Rarely,1240,Human Resources,9,3,Human Resources,3,Male,48,3,2,Human Resources,4,Married,6347.0,13982,0,Yes,19,3,4,0,12,2,1,11,9,4,7
32.0,Yes,Travel_Rarely,1033,Research & Development,9,3,Medical,1,Female,41,3,1,Laboratory Technician,1,Single,4200.0,10224,7,No,22,4,1,0,10,2,4,5,4,0,4
45.0,No,Travel_Rarely,1316,Research & Development,29,3,Medical,3,Male,83,3,1,Research Scientist,4,Single,3452.0,9752,5,No,13,3,2,0,9,2,2,6,5,0,3
42.0,No,Travel_Rarely,364,Research & Development,3,5,Technical Degree,4,Female,32,3,2,Research Scientist,3,Single,4317.0,2302,3,Yes,20,4,2,0,19,2,3,3,2,2,2
30.0,No,Travel_Rarely,438,Research & Development,18,3,Life Sciences,1,Female,75,3,1,Research Scientist,3,Single,2632.0,23910,1,No,14,3,3,0,5,4,2,5,4,0,4
32.0,No,Travel_Frequently,689,Sales,9,2,Medical,4,Male,35,1,2,Sales Executive,4,Divorced,4668.0,22812,0,No,17,3,4,3,9,2,4,8,7,0,7
30.0,No,Travel_Rarely,201,Research & Development,5,3,Technical Degree,4,Female,84,3,1,Research Scientist,1,Divorced,3204.0,10415,5,No,14,3,4,1,8,3,3,3,2,2,2
30.0,No,Travel_Rarely,1427,Research & Development,2,1,Medical,2,Male,35,2,1,Laboratory Technician,4,Single,3196.0,11162,0,No,13,3,4,0,6,3,3,5,3,1,2
41.0,No,Travel_Frequently,857,Research & Development,10,3,Life Sciences,4,Male,91,2,4,Manager,1,Divorced,17181.0,12888,4,No,13,3,2,1,21,2,2,7,6,7,7
